embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,13,0.5173445174708707,0.8956509967875793,0.45176851560011405,0.635705527633648,0.556892861598229,0.0,1.0,0.464682251745978,0.0,0.9558175957430146,1114
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,38,0.3714895128207175,0.9568449204357508,0.3436188383942482,0.590149614640401,0.38221191244689984,0.0,1.0,0.34536290159243604,0.0,0.7959804438777496,1114
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,120,0.31269546477482185,0.9869819733044545,0.3040279734139345,0.47547194696583217,0.34154644405938395,0.0,1.0,0.3209986453103782,0.0,0.8810583227361228,1114
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,350,0.2467284743485249,0.9963884130711331,0.24340642524970224,0.31048881011581797,0.31922666874376443,0.0,1.0,0.3595091154621662,0.0,0.98509184887256,1114
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,5,0.445577647893204,0.22480176188517548,-0.0019018142115867396,0.020278544356879005,0.8031117248171349,0.22246568915296172,1.0,0.5862312528821558,0.07363934375748304,1.0,1246
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,13,0.3826525590076967,0.6076473313999802,0.15708513282943287,0.3908888800122305,0.5657059325114568,0.0,1.0,0.44792273406691036,0.0,0.9141012196077719,1246
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,38,0.23276379631172286,0.6900803712593349,0.07792324778509653,0.40681399798971474,0.3556465458155243,0.0,1.0,0.315440938536924,0.0,0.7515529335338225,1246
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,120,0.23424828829613487,0.9368814007611928,0.13518638213643552,0.5227084892778159,0.32787554919926115,0.0,1.0,0.3142318126336407,0.0,0.8639206865025528,1246
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,350,0.1823956617481666,0.9838528569023657,0.113601675767258,0.39055072823708104,0.34513094664344446,0.0,1.0,0.36965135735928073,0.0,1.0,1246
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,5,0.8189637641135944,0.9252517784592529,0.7718653704764337,0.7702328494354669,0.835777898871215,0.37637871718526966,1.0,0.6498842470959543,0.14935879127338247,1.0,1044
