embedding_model,reduction_method,reduction_params,cluster_method,cluster_params,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.5}",HDBSCAN,{},58,0.34912602988526764,0.8294704972682277,0.24279148469610326,0.45199329962290724,0.40306292712567293,0.3952909400486074
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.5}",HDBSCAN,{},72,0.3312294035364612,0.8429396235499573,0.23704957320754627,0.43290428677204734,0.4025014681613714,0.4232154593621004
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.01}",Agglomerative,{},58,0.22807727085877538,0.9152534488879096,0.15687988741110565,0.44502331563513897,0.3481922409582877,0.33646354155534847
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.01}",Agglomerative,{},72,0.1888906872577049,0.9140562838921328,0.1173108377690598,0.40890111339391183,0.3828245671571308,0.41976269426858764
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.01}",HDBSCAN,{},58,0.24309252157646732,0.9072446027607425,0.18352804265010644,0.438943847229029,0.30074212548915014,0.2706711280507094
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.01}",HDBSCAN,{},72,0.20258385749772018,0.9047702985567919,0.14248307154998957,0.4115621818055743,0.3112855407635326,0.4431989017974854
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.1}",Agglomerative,{},58,0.23571115523830552,0.9160654319627549,0.1628622545509888,0.4461571610103581,0.3627203769895601,0.36329505886514823
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.1}",Agglomerative,{},72,0.18668630004292652,0.9140016076448818,0.11530843361641155,0.40903421988992067,0.39575564980440514,0.4022096379680023
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.1}",HDBSCAN,{},58,0.2243555233493376,0.8864056079876285,0.1623591529829804,0.42258827991320946,0.2905664727241338,0.2628332635808039
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 5, 'min_dist': 0.1}",HDBSCAN,{},72,0.21144328048553335,0.9001505636957879,0.15245578803997334,0.4109842650703918,0.2854836051864599,0.4329244886060655
