embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,6,0.35940597420724507,0.7473980430857823,0.2021235028865995,0.29982196413292195,0.49824813462213385,0.431039136190691
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,64,0.22515424216306199,0.9611318669128237,0.1980816891879865,0.4267354831960259,0.2472434841231346,0.20488882495225477
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,454,0.1423475982919771,0.9853104463210951,0.10052919646150656,0.41064665723126464,0.23247772419362359,0.35220414578585624
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,6,0.36938659384403516,0.7431522237633432,0.20812140596058473,0.24995238985736085,0.4588267176409097,0.4017320544523305
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,64,0.20545503932543138,0.9589847737025995,0.17987926132754478,0.3983934238175499,0.20031099625132204,0.17988165458406707
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,454,0.1217330307931741,0.9850696302354471,0.08522132410337596,0.388576695900922,0.16654371867646975,0.3085625784370352
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,6,0.44231405391131445,0.21556138836908367,-0.004512290742383303,0.014477967473465518,0.46192151694353834,0.40787946695433186
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,64,0.17569558800917173,0.09400733476028104,0.001422692697841125,0.031319081420234436,0.16412821678287137,0.14708289298224062
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,454,0.11831577161013755,0.8578062566600329,0.04385743011638626,0.3376100478242114,0.1634422062457814,0.2914125436601364
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,6,0.4377086854219585,0.7552123057110784,0.28125176924200795,0.3718633675620206,0.47868985190993774,0.4258667297415468
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,64,0.19607323000429652,0.9556245892573927,0.1715882785288099,0.42214439354471245,0.2095602433832956,0.20099910589710623
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,454,0.13441466544394035,0.9850259687809587,0.0976114965911683,0.4118141744485299,0.2016733257260149,0.3166521454563002
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,6,0.4485517165123463,0.7651624207927332,0.2993376331679056,0.3639080602949616,0.4552257173749031,0.385449777447637
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,64,0.21677364493835488,0.959902301374605,0.1908150051666571,0.4299057654560509,0.25150925666947915,0.2141339589718622
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,454,0.1345818080061812,0.9850681921470983,0.09714757887291844,0.42106406099166804,0.21958511886423504,0.3276216168189775
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,6,0.4517598964584191,0.2046237161739321,-5.34612963104821e-05,-7.31123684754925e-05,0.27411257583914284,0.30758094750558024
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,64,0.17693340513862388,0.03990934545900303,-4.18485223848112e-05,-0.0001605102450146728,0.09287156910666451,0.10481776623178653
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,454,0.11193883283676942,0.08025001730256931,-0.00032265924122280084,0.0011938076314640734,0.09167954238552034,0.24100694544296578
sentence-transformers/all-MiniLM-L6-v2,PHATE,Agglomerative,6,0.5268965583561749,0.7871781335280686,0.38909946678436014,0.4003997473939046,0.5474732632988306,0.4418924313280342
sentence-transformers/all-MiniLM-L6-v2,PHATE,Agglomerative,64,0.19456916390099924,0.9516181479322529,0.1694254291583165,0.40918600569719,0.207658619476144,0.18332617499972928
sentence-transformers/all-MiniLM-L6-v2,PHATE,Agglomerative,454,0.10938105025732714,0.9837768889299563,0.08618228277090567,0.3693319586317703,0.2075926948643517,0.3461021697051418
sentence-transformers/all-MiniLM-L6-v2,PHATE,DC,6,0.48498955543795363,0.6812735666728159,0.26446868008751956,0.283091893281542,0.5529285148831375,0.4566120134479471
sentence-transformers/all-MiniLM-L6-v2,PHATE,DC,64,0.202355551858756,0.9565094140722006,0.17787825972750365,0.3846694582282362,0.2128708861934906,0.1865914296452065
sentence-transformers/all-MiniLM-L6-v2,PHATE,DC,454,0.10812947429110013,0.9846366291150852,0.0781657532350366,0.3509245958766014,0.20808250369427797,0.33743648985717006
sentence-transformers/all-MiniLM-L6-v2,PHATE,HDBSCAN,6,0.4475809099211023,0.21228302022873324,-0.0011064481198047467,0.009772815324577555,0.3525283303895776,0.33984506495390393
sentence-transformers/all-MiniLM-L6-v2,PHATE,HDBSCAN,64,0.17558845115672708,0.0847324476675099,0.0010452328464960658,0.03269636101014686,0.129391592926427,0.11820093077916703
sentence-transformers/all-MiniLM-L6-v2,PHATE,HDBSCAN,454,0.11112744394593395,0.26884806829601715,0.002806213945921838,0.11052550868497987,0.12148245723347316,0.2615580853825769
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,Agglomerative,6,0.4707022440523926,0.7658332708037956,0.32022920676806743,0.3698894928750741,0.5151653632704295,0.4545366636348207
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,Agglomerative,64,0.22623656785828017,0.9588052311028,0.20157118892207274,0.4452450701765299,0.2718829922548239,0.2341465477184319
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,Agglomerative,454,0.15258237464512298,0.9852237696416928,0.1120155143074908,0.40469827385823487,0.24770699783007394,0.37545772698608887
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,DC,6,0.37872984216136574,0.7512310127283925,0.22321543216940676,0.328994650407346,0.45750647431206753,0.4005661808729418
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,DC,64,0.22133511917397536,0.9599522339865131,0.19552726292704423,0.4256072999961109,0.20976992832632893,0.18241029086385457
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,DC,454,0.12236114948323046,0.9849221169577959,0.08780595136660165,0.38411676668393796,0.19190245406104786,0.31154277347590803
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,HDBSCAN,6,0.4390716386929211,0.25823232765084553,0.007080717714684292,0.06885412842418719,0.4146452682506773,0.4103675313769163
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,HDBSCAN,64,0.19844206119356517,0.6012951933371438,0.04603602334703703,0.25894982768821573,0.21594886918444667,0.18850580579468318
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,HDBSCAN,454,0.12358759821450518,0.6741107580695233,0.022720939369171196,0.247581089264522,0.1731544112585655,0.3050373475644345
sentence-transformers/all-MiniLM-L6-v2,Raw,Agglomerative,6,0.5404667301994162,0.7864307644742955,0.4004844639229136,0.41089195867730594,0.5225483731692973,0.4478152015106378
sentence-transformers/all-MiniLM-L6-v2,Raw,Agglomerative,64,0.198061094985489,0.9573628557944348,0.17320451435385642,0.41903571614256924,0.227497029035058,0.19271611914074666
sentence-transformers/all-MiniLM-L6-v2,Raw,Agglomerative,454,0.13377585574112075,0.9850450462061427,0.0967298774613697,0.41295503534833145,0.19750118187118876,0.31074712610886224
sentence-transformers/all-MiniLM-L6-v2,Raw,DC,6,0.41180722540021936,0.7639424758835315,0.2641461330539777,0.3056083415231952,0.4796889863949407,0.4138651717099904
sentence-transformers/all-MiniLM-L6-v2,Raw,DC,64,0.2038479322039264,0.9583621633639966,0.17865448399500053,0.42225979303059624,0.2015101670395933,0.17838815087080995
sentence-transformers/all-MiniLM-L6-v2,Raw,DC,454,0.13811550227778427,0.9851338982217182,0.0994862364662541,0.4235993984461986,0.2113073505659831,0.3120267424914282
